"C:\Users\Yoni Klein\PycharmProjects\ImageClassification\.venv\Scripts\python.exe" "C:\Users\Yoni Klein\PycharmProjects\ImageClassification\model_on_divided_val - 8 classes.py" 
CUDA is available
Finish creating the model
Epoch [1/30], Training Loss: 2.066545344295358
Image: ILSVRC2010_val_00002594.JPEG, True Label: n01685808, Predicted Label: n01695060
Image: ILSVRC2010_val_00003097.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003673.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003946.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00006916.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00000164.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00000721.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00002801.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00003075.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00005737.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00001443.JPEG, True Label: n01728920, Predicted Label: n01695060
Image: ILSVRC2010_val_00001536.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00003433.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004376.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004629.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00000645.JPEG, True Label: n01770081, Predicted Label: n01728920
Image: ILSVRC2010_val_00001045.JPEG, True Label: n01770081, Predicted Label: n01695060
Image: ILSVRC2010_val_00001153.JPEG, True Label: n01770081, Predicted Label: n01770081
Image: ILSVRC2010_val_00001858.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00005238.JPEG, True Label: n01770081, Predicted Label: n01695060
Validation Loss: 1.7459971904754639, Top-1 Error Rate: 53.25%, Top-5 Error Rate: 15.0%
Epoch [9/30], Training Loss: 1.675409212148279
Image: ILSVRC2010_val_00000568.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00001674.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002060.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002205.JPEG, True Label: n01484850, Predicted Label: n01695060
Image: ILSVRC2010_val_00002688.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00000537.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00002743.JPEG, True Label: n01496331, Predicted Label: n01664065
Image: ILSVRC2010_val_00005163.JPEG, True Label: n01496331, Predicted Label: n01695060
Image: ILSVRC2010_val_00005388.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00005707.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00001442.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00003246.JPEG, True Label: n01664065, Predicted Label: n01695060
Image: ILSVRC2010_val_00007107.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00008286.JPEG, True Label: n01664065, Predicted Label: n01695060
Image: ILSVRC2010_val_00008408.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00000809.JPEG, True Label: n01675722, Predicted Label: n01496331
Image: ILSVRC2010_val_00001330.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00003095.JPEG, True Label: n01675722, Predicted Label: n01728920
Image: ILSVRC2010_val_00005441.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00005916.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00002594.JPEG, True Label: n01685808, Predicted Label: n01695060
Image: ILSVRC2010_val_00003097.JPEG, True Label: n01685808, Predicted Label: n01695060
Image: ILSVRC2010_val_00003673.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003946.JPEG, True Label: n01685808, Predicted Label: n01695060
Image: ILSVRC2010_val_00006916.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00000164.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00000721.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00002801.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00003075.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00005737.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00001443.JPEG, True Label: n01728920, Predicted Label: n01695060
Image: ILSVRC2010_val_00001536.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00003433.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004376.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004629.JPEG, True Label: n01728920, Predicted Label: n01695060
Image: ILSVRC2010_val_00000645.JPEG, True Label: n01770081, Predicted Label: n01728920
Image: ILSVRC2010_val_00001045.JPEG, True Label: n01770081, Predicted Label: n01695060
Image: ILSVRC2010_val_00001153.JPEG, True Label: n01770081, Predicted Label: n01770081
Image: ILSVRC2010_val_00001858.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00005238.JPEG, True Label: n01770081, Predicted Label: n01695060
Validation Loss: 1.798985779285431, Top-1 Error Rate: 58.25%, Top-5 Error Rate: 14.25%
Epoch [10/30], Training Loss: 1.658748832143339
Image: ILSVRC2010_val_00000568.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00001674.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002060.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002205.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00002688.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00000537.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00002743.JPEG, True Label: n01496331, Predicted Label: n01664065
Image: ILSVRC2010_val_00005163.JPEG, True Label: n01496331, Predicted Label: n01770081
Image: ILSVRC2010_val_00005388.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00005707.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00001442.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00003246.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00007107.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00008286.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00008408.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00000809.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00001330.JPEG, True Label: n01675722, Predicted Label: n01496331
Image: ILSVRC2010_val_00003095.JPEG, True Label: n01675722, Predicted Label: n01728920
Image: ILSVRC2010_val_00005441.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00005916.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00002594.JPEG, True Label: n01685808, Predicted Label: n01484850
Image: ILSVRC2010_val_00003097.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003673.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003946.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00006916.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00000164.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00000721.JPEG, True Label: n01695060, Predicted Label: n01484850
Image: ILSVRC2010_val_00002801.JPEG, True Label: n01695060, Predicted Label: n01496331
Image: ILSVRC2010_val_00003075.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00005737.JPEG, True Label: n01695060, Predicted Label: n01664065
Image: ILSVRC2010_val_00001443.JPEG, True Label: n01728920, Predicted Label: n01664065
Image: ILSVRC2010_val_00001536.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00003433.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004376.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004629.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00000645.JPEG, True Label: n01770081, Predicted Label: n01728920
Image: ILSVRC2010_val_00001045.JPEG, True Label: n01770081, Predicted Label: n01664065
Image: ILSVRC2010_val_00001153.JPEG, True Label: n01770081, Predicted Label: n01770081
Image: ILSVRC2010_val_00001858.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00005238.JPEG, True Label: n01770081, Predicted Label: n01484850
Validation Loss: 1.738381177186966, Top-1 Error Rate: 52.25%, Top-5 Error Rate: 10.75%
Epoch [11/30], Training Loss: 1.6417050426167652
Image: ILSVRC2010_val_00000568.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00001674.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002060.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002205.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00002688.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00000537.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00002743.JPEG, True Label: n01496331, Predicted Label: n01664065
Image: ILSVRC2010_val_00005163.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00005388.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00005707.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00001442.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00003246.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00007107.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00008286.JPEG, True Label: n01664065, Predicted Label: n01496331
Image: ILSVRC2010_val_00008408.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00000809.JPEG, True Label: n01675722, Predicted Label: n01496331
Image: ILSVRC2010_val_00001330.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00003095.JPEG, True Label: n01675722, Predicted Label: n01728920
Image: ILSVRC2010_val_00005441.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00005916.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00002594.JPEG, True Label: n01685808, Predicted Label: n01728920
Image: ILSVRC2010_val_00003097.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003673.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003946.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00006916.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00000164.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00000721.JPEG, True Label: n01695060, Predicted Label: n01484850
Image: ILSVRC2010_val_00002801.JPEG, True Label: n01695060, Predicted Label: n01496331
Image: ILSVRC2010_val_00003075.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00005737.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00001443.JPEG, True Label: n01728920, Predicted Label: n01695060
Image: ILSVRC2010_val_00001536.JPEG, True Label: n01728920, Predicted Label: n01770081
Image: ILSVRC2010_val_00003433.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004376.JPEG, True Label: n01728920, Predicted Label: n01664065
Image: ILSVRC2010_val_00004629.JPEG, True Label: n01728920, Predicted Label: n01695060
Image: ILSVRC2010_val_00000645.JPEG, True Label: n01770081, Predicted Label: n01496331
Image: ILSVRC2010_val_00001045.JPEG, True Label: n01770081, Predicted Label: n01664065
Image: ILSVRC2010_val_00001153.JPEG, True Label: n01770081, Predicted Label: n01770081
Image: ILSVRC2010_val_00001858.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00005238.JPEG, True Label: n01770081, Predicted Label: n01695060
Validation Loss: 1.733313262462616, Top-1 Error Rate: 52.25%, Top-5 Error Rate: 7.5%
Epoch [12/30], Training Loss: 1.6160388430258386
Image: ILSVRC2010_val_00000568.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00001674.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002060.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002205.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00002688.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00000537.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00002743.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00005163.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00005388.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00005707.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00001442.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00003246.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00007107.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00008286.JPEG, True Label: n01664065, Predicted Label: n01496331
Image: ILSVRC2010_val_00008408.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00000809.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00001330.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00003095.JPEG, True Label: n01675722, Predicted Label: n01728920
Image: ILSVRC2010_val_00005441.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00005916.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00002594.JPEG, True Label: n01685808, Predicted Label: n01484850
Image: ILSVRC2010_val_00003097.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003673.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003946.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00006916.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00000164.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00000721.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00002801.JPEG, True Label: n01695060, Predicted Label: n01496331
Image: ILSVRC2010_val_00003075.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00005737.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00001443.JPEG, True Label: n01728920, Predicted Label: n01695060
Image: ILSVRC2010_val_00001536.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00003433.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004376.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004629.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00000645.JPEG, True Label: n01770081, Predicted Label: n01664065
Image: ILSVRC2010_val_00001045.JPEG, True Label: n01770081, Predicted Label: n01664065
Image: ILSVRC2010_val_00001153.JPEG, True Label: n01770081, Predicted Label: n01770081
Image: ILSVRC2010_val_00001858.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00005238.JPEG, True Label: n01770081, Predicted Label: n01695060
Validation Loss: 1.7319703996181488, Top-1 Error Rate: 49.25000000000001%, Top-5 Error Rate: 8.25%
Epoch [13/30], Training Loss: 1.601246830753814
Image: ILSVRC2010_val_00000568.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00001674.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002060.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002205.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002688.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00000537.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00002743.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00005163.JPEG, True Label: n01496331, Predicted Label: n01770081
Image: ILSVRC2010_val_00005388.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00005707.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00001442.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00003246.JPEG, True Label: n01664065, Predicted Label: n01675722
Image: ILSVRC2010_val_00007107.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00008286.JPEG, True Label: n01664065, Predicted Label: n01496331
Image: ILSVRC2010_val_00008408.JPEG, True Label: n01664065, Predicted Label: n01484850
Image: ILSVRC2010_val_00000809.JPEG, True Label: n01675722, Predicted Label: n01496331
Image: ILSVRC2010_val_00001330.JPEG, True Label: n01675722, Predicted Label: n01685808
Image: ILSVRC2010_val_00003095.JPEG, True Label: n01675722, Predicted Label: n01728920
Image: ILSVRC2010_val_00005441.JPEG, True Label: n01675722, Predicted Label: n01496331
Image: ILSVRC2010_val_00005916.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00002594.JPEG, True Label: n01685808, Predicted Label: n01728920
Image: ILSVRC2010_val_00003097.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003673.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003946.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00006916.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00000164.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00000721.JPEG, True Label: n01695060, Predicted Label: n01484850
Image: ILSVRC2010_val_00002801.JPEG, True Label: n01695060, Predicted Label: n01496331
Image: ILSVRC2010_val_00003075.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00005737.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00001443.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00001536.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00003433.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004376.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004629.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00000645.JPEG, True Label: n01770081, Predicted Label: n01675722
Image: ILSVRC2010_val_00001045.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00001153.JPEG, True Label: n01770081, Predicted Label: n01770081
Image: ILSVRC2010_val_00001858.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00005238.JPEG, True Label: n01770081, Predicted Label: n01770081
Validation Loss: 1.6991598010063171, Top-1 Error Rate: 49.25000000000001%, Top-5 Error Rate: 7.25%
Epoch [14/30], Training Loss: 1.589069454652026
Image: ILSVRC2010_val_00000568.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00001674.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002060.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002205.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00002688.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00000537.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00002743.JPEG, True Label: n01496331, Predicted Label: n01664065
Image: ILSVRC2010_val_00005163.JPEG, True Label: n01496331, Predicted Label: n01770081
Image: ILSVRC2010_val_00005388.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00005707.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00001442.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00003246.JPEG, True Label: n01664065, Predicted Label: n01728920
Image: ILSVRC2010_val_00007107.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00008286.JPEG, True Label: n01664065, Predicted Label: n01496331
Image: ILSVRC2010_val_00008408.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00000809.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00001330.JPEG, True Label: n01675722, Predicted Label: n01685808
Image: ILSVRC2010_val_00003095.JPEG, True Label: n01675722, Predicted Label: n01728920
Image: ILSVRC2010_val_00005441.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00005916.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00002594.JPEG, True Label: n01685808, Predicted Label: n01728920
Image: ILSVRC2010_val_00003097.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003673.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003946.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00006916.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00000164.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00000721.JPEG, True Label: n01695060, Predicted Label: n01664065
Image: ILSVRC2010_val_00002801.JPEG, True Label: n01695060, Predicted Label: n01496331
Image: ILSVRC2010_val_00003075.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00005737.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00001443.JPEG, True Label: n01728920, Predicted Label: n01695060
Image: ILSVRC2010_val_00001536.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00003433.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004376.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004629.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00000645.JPEG, True Label: n01770081, Predicted Label: n01675722
Image: ILSVRC2010_val_00001045.JPEG, True Label: n01770081, Predicted Label: n01664065
Image: ILSVRC2010_val_00001153.JPEG, True Label: n01770081, Predicted Label: n01770081
Image: ILSVRC2010_val_00001858.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00005238.JPEG, True Label: n01770081, Predicted Label: n01770081
Validation Loss: 1.6797140538692474, Top-1 Error Rate: 45.49999999999999%, Top-5 Error Rate: 6.25%
Epoch [15/30], Training Loss: 1.569792283746533
Image: ILSVRC2010_val_00000568.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00001674.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002060.JPEG, True Label: n01484850, Predicted Label: n01484850
Image: ILSVRC2010_val_00002205.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00002688.JPEG, True Label: n01484850, Predicted Label: n01664065
Image: ILSVRC2010_val_00000537.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00002743.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00005163.JPEG, True Label: n01496331, Predicted Label: n01496331
Image: ILSVRC2010_val_00005388.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00005707.JPEG, True Label: n01496331, Predicted Label: n01484850
Image: ILSVRC2010_val_00001442.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00003246.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00007107.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00008286.JPEG, True Label: n01664065, Predicted Label: n01496331
Image: ILSVRC2010_val_00008408.JPEG, True Label: n01664065, Predicted Label: n01664065
Image: ILSVRC2010_val_00000809.JPEG, True Label: n01675722, Predicted Label: n01675722
Image: ILSVRC2010_val_00001330.JPEG, True Label: n01675722, Predicted Label: n01685808
Image: ILSVRC2010_val_00003095.JPEG, True Label: n01675722, Predicted Label: n01675722
Image: ILSVRC2010_val_00005441.JPEG, True Label: n01675722, Predicted Label: n01664065
Image: ILSVRC2010_val_00005916.JPEG, True Label: n01675722, Predicted Label: n01695060
Image: ILSVRC2010_val_00002594.JPEG, True Label: n01685808, Predicted Label: n01728920
Image: ILSVRC2010_val_00003097.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003673.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00003946.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00006916.JPEG, True Label: n01685808, Predicted Label: n01685808
Image: ILSVRC2010_val_00000164.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00000721.JPEG, True Label: n01695060, Predicted Label: n01496331
Image: ILSVRC2010_val_00002801.JPEG, True Label: n01695060, Predicted Label: n01496331
Image: ILSVRC2010_val_00003075.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00005737.JPEG, True Label: n01695060, Predicted Label: n01695060
Image: ILSVRC2010_val_00001443.JPEG, True Label: n01728920, Predicted Label: n01695060
Image: ILSVRC2010_val_00001536.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00003433.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004376.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00004629.JPEG, True Label: n01728920, Predicted Label: n01728920
Image: ILSVRC2010_val_00000645.JPEG, True Label: n01770081, Predicted Label: n01496331
Image: ILSVRC2010_val_00001045.JPEG, True Label: n01770081, Predicted Label: n01695060
Image: ILSVRC2010_val_00001153.JPEG, True Label: n01770081, Predicted Label: n01770081
Image: ILSVRC2010_val_00001858.JPEG, True Label: n01770081, Predicted Label: n01685808
Image: ILSVRC2010_val_00005238.JPEG, True Label: n01770081, Predicted Label: n01770081
Validation Loss: 1.6601430773735046, Top-1 Error Rate: 44.25%, Top-5 Error Rate: 7.75%
Epoch [16/30], Training Loss: 1.5532716381818727
Image: ILSVRC2010_val_00000568.JPEG, True Label: n01484850, Predicted Label: n01484850
